video_id,song_title,channel_name,original_title,audio_file
_8W9mV-WXes,De_l'1_al_què_THE_TYETS_(Videoclip_Oficial),The Tyets,De l'1 al què | THE TYETS (Videoclip Oficial),_8W9mV-WXes_De_l'1_al_què_THE_TYETS_(Videoclip_Oficial).mp3
2hp5bwXa7YE,JORDI_NINUS_EL_NOSTRE_LLOC_(Videoclip_oficial),Jordi Ninus Oficial,JORDI NINUS - EL NOSTRE LLOC (Videoclip oficial),2hp5bwXa7YE_JORDI_NINUS_EL_NOSTRE_LLOC_(Videoclip_oficial).mp3
pJTBLdgCwYI,Els_teus_ulls,alfredgarcia,Els teus ulls,pJTBLdgCwYI_Els_teus_ulls.mp3
ISpIij6FhjM,Vull_estar_amb_tu,Els Catarres,Vull estar amb tu,ISpIij6FhjM_Vull_estar_amb_tu.mp3
ppcBgx8NIMw,Olívia,The Tyets,Olívia,ppcBgx8NIMw_Olívia.mp3
T-a8Wp4a12A,Per_Nosaltres_i_els_de_Dalt,Joan Dausà,Per Nosaltres i els de Dalt,T-a8Wp4a12A_Per_Nosaltres_i_els_de_Dalt.mp3
mK2EqGx-j3s,xinu_xanu,STAY HOMAS,xinu xanu,mK2EqGx-j3s_xinu_xanu.mp3
857MpfkGbNo,Jenifer,Els Catarres,Jenifer,857MpfkGbNo_Jenifer.mp3
CCK96Ngb4xs,TORNAR,La Fúmiga,TORNAR,CCK96Ngb4xs_TORNAR.mp3
5Vx_rafr__U,Tornem_a_casa,The Tyets,Tornem a casa,5Vx_rafr__U_Tornem_a_casa.mp3
4fPcLaVXxZ8,DIABLA,Figa Flawas,DIABLA,4fPcLaVXxZ8_DIABLA.mp3
iwLiTeMwDmU,El_Món,Roger Padrós,El Món,iwLiTeMwDmU_El_Món.mp3
CtwTnLtharc,Rikiti,Mama Dousha,Rikiti,CtwTnLtharc_Rikiti.mp3
fVUFOFm_Nfk,Tu_Em_Fas_Ballar,MOSAIC - Topic,Tu Em Fas Ballar,fVUFOFm_Nfk_Tu_Em_Fas_Ballar.mp3
DVZ3MX6idrk,Coti_x_Coti,The Tyets,Coti x Coti,DVZ3MX6idrk_Coti_x_Coti.mp3
5LBA5YXSu-8,X_Una_Nit,LAL'BA MUSIC,X Una Nit,5LBA5YXSu-8_X_Una_Nit.mp3
Tt91P2qtFLA,Que_No_S'Acabi,Figa Flawas,Que No S'Acabi,Tt91P2qtFLA_Que_No_S'Acabi.mp3
WnFa-I4kjOo,Millor_del_que_pensava,Flashy Ice Cream,Millor del que pensava,WnFa-I4kjOo_Millor_del_que_pensava.mp3
Phyqfy_cqLA,LA_PLATJA,STAY HOMAS,LA PLATJA,Phyqfy_cqLA_LA_PLATJA.mp3
GzQ6qSlvws4,Llimona_i_Sal,COCO,Llimona i Sal,GzQ6qSlvws4_Llimona_i_Sal.mp3
omCfgQqS8Xc,Jo_Mai_Mai,Joan Dausà,Jo Mai Mai,omCfgQqS8Xc_Jo_Mai_Mai.mp3
TnXKDiamjDA,Per_la_borda,Sexenni - Topic,Per la borda,TnXKDiamjDA_Per_la_borda.mp3
PAbpF-66l30,Gelat,Miki Nuñez,Gelat,PAbpF-66l30_Gelat.mp3
fARuoOVqxGg,El_món_de_veritat,Buhos - Topic,El món de veritat,fARuoOVqxGg_El_món_de_veritat.mp3
-SOxIi2OCU8,Parella_Imperfecta_Edit,LAL'BA MUSIC,Parella Imperfecta Edit,-SOxIi2OCU8_Parella_Imperfecta_Edit.mp3
kyDcDNckpFE,MUSSEGU,Figa Flawas,MUSSEGU,kyDcDNckpFE_MUSSEGU.mp3
Y28oeOImdhM,XALALÀ,Figa Flawas,XALALÀ,Y28oeOImdhM_XALALÀ.mp3
GfzoZcWHVLw,COR,Els Catarres,COR,GfzoZcWHVLw_COR.mp3
nWgANi9SIus,Pa_amb_Oli_I_Sal,ZETAK,Pa amb Oli I Sal,nWgANi9SIus_Pa_amb_Oli_I_Sal.mp3
kN8bQ_LwrR4,M'agrada,Gertrudis,M'agrada,kN8bQ_LwrR4_M'agrada.mp3
